id,escenario,condicion_real,prediccion,notas
79,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
80,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
81,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
82,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
83,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
84,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
85,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
86,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
87,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
88,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
89,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
90,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
91,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
92,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
93,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
94,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
95,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
96,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
97,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
98,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
99,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
100,bostezo sostenido >=2 s (con y sin mano tapando parcialmente),SOMNOLIENTO,,
101,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
102,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
103,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
104,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
105,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
106,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
107,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
108,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
109,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
110,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
111,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
112,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
113,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
114,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
115,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
116,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
117,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
118,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
119,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
120,"conduccion normal: mirada al frente, parpadeo natural",NORMAL,,
121,conduccion normal con lentes,NORMAL,,
122,conduccion normal con lentes,NORMAL,,
123,conduccion normal con lentes,NORMAL,,
124,conduccion normal con lentes,NORMAL,,
125,conduccion normal con lentes,NORMAL,,
126,conduccion normal con lentes,NORMAL,,
127,conduccion normal con lentes,NORMAL,,
128,conduccion normal con lentes,NORMAL,,
129,conduccion normal con lentes,NORMAL,,
130,conduccion normal con lentes,NORMAL,,
131,conduccion normal con lentes,NORMAL,,
132,conduccion normal con lentes,NORMAL,,
133,conduccion normal con lentes,NORMAL,,
134,conduccion normal con lentes,NORMAL,,
135,conduccion normal con lentes,NORMAL,,
136,conduccion normal con lentes,NORMAL,,
137,conduccion normal con lentes,NORMAL,,
138,conduccion normal con lentes,NORMAL,,
139,conduccion normal con lentes,NORMAL,,
140,conduccion normal con lentes,NORMAL,,
141,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
142,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
143,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
144,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
145,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
146,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
147,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
148,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
149,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
150,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
151,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
152,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
153,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
154,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
155,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
156,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
157,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
158,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
159,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
160,hablar/reir/cantar (movimiento de boca sin bostezo),NORMAL,,
161,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
162,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
163,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
164,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
165,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
166,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
167,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
168,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
169,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
170,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
171,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
172,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
173,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
174,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
175,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
176,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
177,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
178,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
179,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
180,mirar espejos/tablero: giros de cabeza breves,NORMAL,,
181,"poca luz o contraluz, conductor despierto",NORMAL,,
182,"poca luz o contraluz, conductor despierto",NORMAL,,
183,"poca luz o contraluz, conductor despierto",NORMAL,,
184,"poca luz o contraluz, conductor despierto",NORMAL,,
185,"poca luz o contraluz, conductor despierto",NORMAL,,
186,"poca luz o contraluz, conductor despierto",NORMAL,,
187,"poca luz o contraluz, conductor despierto",NORMAL,,
188,"poca luz o contraluz, conductor despierto",NORMAL,,
189,"poca luz o contraluz, conductor despierto",NORMAL,,
190,"poca luz o contraluz, conductor despierto",NORMAL,,
191,"poca luz o contraluz, conductor despierto",NORMAL,,
192,"poca luz o contraluz, conductor despierto",NORMAL,,
193,"poca luz o contraluz, conductor despierto",NORMAL,,
194,"poca luz o contraluz, conductor despierto",NORMAL,,
195,"poca luz o contraluz, conductor despierto",NORMAL,,
196,"poca luz o contraluz, conductor despierto",NORMAL,,
197,"poca luz o contraluz, conductor despierto",NORMAL,,
198,"poca luz o contraluz, conductor despierto",NORMAL,,
199,"poca luz o contraluz, conductor despierto",NORMAL,,
200,"poca luz o contraluz, conductor despierto",NORMAL,,
